epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16488,1.57126,4.02675,1.52621,0,0,0,0,0,17.7188,0,2.858e-05,2.858e-05,2.858e-05
2,3.08016,1.5869,4.01899,1.46718,0,0,0,0,0,17.7188,0,7.07426e-05,7.07426e-05,7.07426e-05
3,3.95715,1.27402,3.67064,1.24367,0,0,0,0,0,17.7188,0,0.000112056,0.000112056,0.000112056
4,4.76273,0.96143,3.22385,1.00855,0,0,0,0,0,17.7188,0,0.000152521,0.000152521,0.000152521
5,5.64699,0.88697,2.77075,0.96632,0,0,0,0,0,17.7188,0,0.000192138,0.000192138,0.000192138
6,6.5793,0.89198,2.2835,0.96554,0,0,0,0,0,17.7188,0,0.000230905,0.000230905,0.000230905
7,7.35174,0.83376,2.05072,0.93722,0,0,0,0,0,17.7969,0,0.000268823,0.000268823,0.000268823
8,8.09661,0.7765,1.64124,0.93312,0,0,0,0,0,17.9375,0,0.000305893,0.000305893,0.000305893
9,8.90421,0.74391,1.33608,0.90459,0,0,0,0,0,18.0625,0,0.000342114,0.000342114,0.000342114
10,9.69593,0.79494,1.21623,0.9224,0,0,0,0,0,18.2188,0,0.000377486,0.000377486,0.000377486
11,10.5211,0.7815,1.13996,0.8935,0,0,0,0,0,18.4375,0,0.000412009,0.000412009,0.000412009
12,11.3193,0.76463,1.06689,0.93452,0,0,0,0,0,18.5625,0,0.000445684,0.000445684,0.000445684
13,12.1602,0.69451,0.93282,0.91001,0,0,0,0,0,18.8438,0,0.000478509,0.000478509,0.000478509
14,13.0568,0.67143,0.89717,0.90518,0,0,0,0,0,18.9219,0,0.000510486,0.000510486,0.000510486
15,13.917,0.66303,0.9113,0.92135,0,0,0,0,0,18.9688,0,0.000541614,0.000541614,0.000541614
16,14.7283,0.65126,0.85541,0.89025,0,0,0,0,0,18.9531,0,0.000571893,0.000571893,0.000571893
17,15.5943,0.69973,0.9062,0.91987,0,0,0,0,0,18.6562,0,0.000601323,0.000601323,0.000601323
18,16.4238,0.66454,0.86485,0.8967,0,0,0,0,0,18.8438,0,0.000629905,0.000629905,0.000629905
19,17.2535,0.65933,0.83686,0.8939,0,0,0,0,0,19.1719,0,0.000657637,0.000657637,0.000657637
20,18.0952,0.62561,0.79372,0.89784,0,0,0,0,0,19.7344,0,0.000684521,0.000684521,0.000684521
21,18.9067,0.58521,0.79441,0.88723,0,0,0,0,0,20.6719,0,0.000710556,0.000710556,0.000710556
22,19.8273,0.57752,0.77074,0.87884,0,0,0,0,0,22.0312,0,0.000735742,0.000735742,0.000735742
23,20.7016,0.61122,0.75396,0.88359,0,0,0,0,0,23.5469,0,0.000760079,0.000760079,0.000760079
24,21.5732,0.5928,0.74012,0.85809,0,0,0,0,0,25.0938,0,0.000783568,0.000783568,0.000783568
25,22.4805,0.58335,0.75081,0.87752,0,0,0,0,0,26.1562,0,0.000806208,0.000806208,0.000806208
26,23.3397,0.6031,0.75525,0.87773,0,0,0,0,0,26.375,0,0.000827998,0.000827998,0.000827998
27,24.3214,0.54264,0.74306,0.85476,0,0,0,0,0,24.8906,0,0.00084894,0.00084894,0.00084894
28,25.2126,0.62045,0.77846,0.90201,0,0,0,0,0,24.125,0,0.000869033,0.000869033,0.000869033
29,25.9859,0.53758,0.70991,0.86266,0,0,0,0,0,24.125,0,0.000888278,0.000888278,0.000888278
30,26.8692,0.54767,0.74205,0.88932,0,0,0,0,0,25.3906,0,0.000906673,0.000906673,0.000906673
31,27.7245,0.51495,0.70664,0.86702,0,0,0,0,0,28.3438,0,0.00092422,0.00092422,0.00092422
32,28.6047,0.53088,0.68868,0.87736,0,0,0,0,0,31.9531,0,0.000940918,0.000940918,0.000940918
33,29.3158,0.52537,0.68611,0.88002,0,0,0,0,0,31.9531,0,0.000956767,0.000956767,0.000956767
34,30.0814,0.50525,0.66906,0.86069,0,0,0,0,0,39.25,0,0.000962146,0.000962146,0.000962146
35,30.885,0.49578,0.68868,0.83574,0,0,0,0,0,48.75,0,0.000947999,0.000947999,0.000947999
36,31.8205,0.5374,0.68222,0.88463,0,0,0,0,0,60.75,0,0.000933851,0.000933851,0.000933851
37,32.6266,0.51593,0.67784,0.8704,0,0,0,0,0,60.75,0,0.000919704,0.000919704,0.000919704
